"","Country","Subtype A","Subtype C","Subtype D"
"1","Burundi","2002_2007","2002_2007","2002_2007"
"2","Congo","2002_2012","2002_2007","1983_2011"
"3","Kenya","1986_2014","1991_2014","1996_2014"
"4","Uganda","1985_2011","1990_2010","1991_2013"
"5","Tanzania","1997_2014","1996_2014","1996_2014"
"6","Rwanda","1992_2012","2005_2012","2005_2008"
