"","V1","V2"
"107","6.106.C","8.8577961502"
"108","6.107.C","9.7745025769"
"109","6.108.C","12.0946276229"
"110","6.109.C","13.0802340884"
"111","6.110.C","12.9395311336"
"112","6.111.C","18.484282787"
"113","6.112.C","14.2040264523"
"114","6.113.C","13.1289201254"
"115","6.114.C","6.3128807977"
"116","6.115.C","10.473592544"
"117","6.116.C","9.3630404434"
"118","6.117.C","17.5435339164"
"119","6.118.C","12.684444662"
"120","6.119.C","17.0587610014"
"121","6.120.C","13.9059860971"
"122","6.121.C","11.2447244245"
"123","6.122.C","11.8809597264"
"124","6.123.C","17.2470722003"
"125","6.124.C","14.074272925"
"126","6.125.C","15.1560994371"
"127","6.126.C","13.3899538383"
"128","6.127.C","14.1015764104"
"129","6.128.C","14.6229696713"
"130","6.129.C","11.2106776677"
"131","6.130.C","11.0754630893"
"132","6.131.C","8.8573976133"
"133","6.132.C","15.4476317246"
"134","6.133.C","12.643326069"
"135","6.134.C","6.5520157181"
"136","6.135.C","12.725735832"
"137","6.136.C","15.4584229107"
"138","6.137.C","10.7038082108"
"139","6.138.C","10.2829275987"
"140","6.139.C","8.3778937131"
"141","6.140.C","10.3895848842"
"142","6.141.C","14.6238633977"
"143","6.142.C","8.3333706522"
"144","6.143.C","16.9089053801"
"145","6.144.C","6.8145983239"
"146","6.145.C","6.8572765061"
"147","6.146.C","13.7899710906"
"148","6.147.C","6.754280138"
"149","6.148.C","9.8693614155"
"150","6.149.C","9.4548107139"
"151","6.150.C","11.8844948202"
"152","6.151.C","6.9229622177"
"153","6.152.C","10.4519809202"
"154","6.153.C","8.1896436055"
"155","6.154.C","6.8245463327"
"156","6.155.C","7.2626480087"
"157","6.156.C","10.8737842019"
"158","6.157.C","16.5327471238"
"159","6.158.C","15.8783749137"
"160","6.159.C","6.8728129143"
"161","6.160.C","15.4289250536"
"162","6.161.C","5.2828225974"
"163","6.162.C","10.5967725818"
"164","6.163.C","14.364059039"
"165","6.164.C","6.5900786743"
"166","6.165.C","7.4356351835"
"167","6.166.C","8.6068335119"
"168","6.167.C","6.2652078474"
"169","6.168.C","13.3997611193"
"170","6.169.C","6.9180261162"
"171","6.170.C","13.7670525666"
"172","6.171.C","6.9261713132"
"173","6.172.C","10.609663724"
"174","6.173.C","14.9013785146"
"175","6.174.C","11.409742473"
"176","6.175.C","13.9583612982"
"177","6.176.C","13.2797046356"
"178","6.177.C","9.105284812"
"179","6.178.C","13.5420980281"
"180","6.179.C","12.5772311172"
"181","6.180.C","11.0340799069"
"182","6.181.C","13.5420572436"
"183","6.182.C","11.2490446209"
"184","6.183.C","10.60617512"
"185","6.184.C","14.7506565066"
"186","6.185.C","8.5892785603"
"187","6.186.C","4.8625478082"
"188","6.187.C","6.3493728066"
"189","6.188.C","12.1882599149"
"190","6.189.C","6.275143386"
"191","6.190.C","10.1121073114"
"192","6.191.C","8.0515510062"
"193","6.192.C","11.9320116588"
"194","6.193.C","5.031112862"
"195","6.194.C","12.4963405555"
"196","6.195.C","11.3606773085"
"197","6.196.C","6.9671898557"
"198","6.197.C","8.8940093855"
"199","6.198.C","11.7250032736"
"200","6.199.C","9.3266830632"
"201","6.200.C","5.4486047138"
"202","6.201.C","3.6125774387"
"203","6.202.C","11.8440214004"
"204","6.203.C","7.8729748407"
"205","6.204.C","15.5869985436"
"206","6.205.C","4.5528615284"
"207","6.206.C","12.41809628"
"208","6.207.C","15.0770934215"
"209","6.208.C","10.6424186215"
"210","6.209.C","9.2007330902"
"211","6.210.C","2.60593031"
"212","6.211.C","6.7724305781"
"213","6.212.C","0.5096407224"
"214","6.213.C","6.0425399631"
"215","6.214.C","12.7909811752"
"216","6.215.C","6.951470171"
"217","6.216.C","7.790597226"
"218","6.217.C","6.9292360851"
"219","6.218.C","7.3308814358"
"220","6.219.C","6.2512460116"
"221","6.220.C","8.7005062511"
"222","6.221.C","6.5937967617"
"223","6.222.C","13.4618981257"
"224","6.223.C","8.0517480618"
"225","6.224.C","11.8864387184"
"226","6.225.C","6.8059203596"
"227","6.226.C","7.8949558365"
"228","6.227.C","5.4612895206"
"229","6.228.C","8.1870205678"
"230","6.229.C","9.2600090919"
"231","6.230.C","6.0814092096"
"232","6.231.C","9.658953938"
"233","6.232.C","9.4882038508"
"234","6.233.C","12.8451004541"
"235","6.234.C","5.9116868545"
"236","6.235.C","12.9253461156"
"237","6.236.C","10.5434970544"
"238","6.237.C","3.7016973087"
"239","6.238.C","7.3867322811"
"240","6.239.C","4.0010079478"
"241","6.240.C","9.4027805839"
"242","6.241.C","3.207343037"
"243","6.242.C","10.7936542362"
"244","6.243.C","6.9075622058"
"245","6.244.C","9.3474869123"
"246","6.245.C","4.6497769349"
"247","6.246.C","9.4081012285"
"248","6.247.C","2.5263122818"
"249","6.248.C","6.9388795413"
"250","6.249.C","5.1447589124"
"251","6.250.C","0.967507424600001"
"252","6.251.C","6.1369164043"
"253","6.252.C","6.1442813114"
"254","6.253.C","8.084483803"
"255","6.254.C","4.2520346578"
"256","6.255.C","6.9136530384"
"257","6.256.C","8.0554101516"
"258","6.257.C","9.3719974052"
"259","6.258.C","4.7901931171"
"260","6.259.C","6.1814644228"
"261","6.260.C","4.3415784737"
"262","6.261.C","11.1363137949"
"263","6.262.C","10.787829687"
"264","6.263.C","2.2672077317"
"265","6.264.C","5.2006199945"
"266","6.265.C","6.8239345843"
"267","6.266.C","5.8275598173"
"268","6.267.C","6.260966394"
"269","6.268.C","5.0982568074"
"270","6.269.C","5.0459072498"
"271","6.270.C","2.6694861322"
"272","6.271.C","3.6643733258"
"273","6.272.C","3.8931468641"
"274","6.273.C","9.5111430044"
"275","6.274.C","4.0636567727"
"276","6.275.C","3.8338751449"
"277","6.276.C","0.5353038322"
"278","6.277.C","9.2788207151"
"279","6.278.C","2.4834069685"
"280","6.279.C","3.430700809"
"281","6.280.C","6.7316006091"
"282","6.281.C","0.555724172399998"
"283","6.282.C","0.783698424900003"
"284","6.283.C","3.6149017785"
"285","6.284.C","1.7033669216"
"286","6.285.C","0"
"287","6.286.C","3.008151513"
"288","6.287.C","6.4903691998"
"289","6.288.C","0"
"290","6.289.C","0"
"291","6.290.C","0.902982925499998"
"292","6.291.C","3.5324187109"
"293","6.292.C","0.670813646100001"
"294","6.293.C","0.656084831800001"
"295","6.294.C","0.758479803"
"296","6.295.C","0.427946908499997"
"297","6.296.C","1.6354033193"
"298","6.297.C","0"
"299","6.298.C","0.780671497100002"
"300","6.299.C","0"
"301","6.300.C","0"
"302","6.301.C","0"
"303","6.302.C","0"
"304","6.303.C","0"
"305","6.304.C","0"
