"","V1","V2"
"1","6.0.C","21.0025616886"
"2","6.1.C","24.5924419994"
"3","6.2.C","19.5424932514"
"4","6.3.C","22.3456212785"
"5","6.4.C","11.2116997119"
"6","6.5.C","20.3472886895"
"7","6.6.C","15.0807167018"
"8","6.7.C","18.8558669123"
"9","6.8.C","16.3903300016"
"10","6.9.C","14.2422361201"
"11","6.10.C","12.5035642815"
"12","6.11.C","18.1768522655"
"13","6.12.C","14.2494752741"
"14","6.13.C","16.0369350142"
"15","6.14.C","17.6206401518"
"16","6.15.C","13.635702077"
"17","6.16.C","16.3285334117"
"18","6.17.C","17.7353880318"
"19","6.18.C","17.4768261213"
"20","6.19.C","17.7049351522"
"21","6.20.C","22.0026160955"
"22","6.21.C","17.6186386034"
"23","6.22.C","16.0061090449"
"24","6.23.C","11.3538883971"
"25","6.24.C","15.7332012094"
"26","6.25.C","7.7872107141"
"27","6.26.C","2.8312360969"
"28","6.27.C","12.9981555791"
"29","6.28.C","17.4416160673"
"30","6.29.C","19.5662350382"
"31","6.30.C","15.0293521826"
"32","6.31.C","13.4326324299"
"33","6.32.C","19.0090353856"
"34","6.33.C","6.972638902"
"35","6.34.C","13.6118725053"
"36","6.35.C","16.2829563585"
"37","6.36.C","15.4654323904"
"38","6.37.C","15.5233317564"
"39","6.38.C","14.691389585"
"40","6.39.C","17.9648459459"
"41","6.40.C","18.0033063029"
"42","6.41.C","12.0516652772"
"43","6.42.C","15.9901606262"
"44","6.43.C","8.280444019"
"45","6.44.C","15.7489131363"
"46","6.45.C","7.9533444914"
"47","6.46.C","11.7712466263"
"48","6.47.C","15.388045844"
"49","6.48.C","16.1839417536"
"50","6.49.C","19.8899019693"
"51","6.50.C","3.4072484838"
"52","6.51.C","11.2361716305"
"53","6.52.C","17.3142131115"
"54","6.53.C","11.8755250532"
"55","6.54.C","6.8189812288"
"56","6.55.C","13.8662942379"
"57","6.56.C","10.3317152552"
"58","6.57.C","14.6111373977"
"59","6.58.C","13.5407823713"
"60","6.59.C","14.167409901"
"61","6.60.C","13.8113033558"
"62","6.61.C","14.1144885601"
"63","6.62.C","15.8168264305"
"64","6.63.C","11.0383940421"
"65","6.64.C","11.4158373404"
"66","6.65.C","13.8145461838"
"67","6.66.C","12.2873029997"
"68","6.67.C","13.3299361123"
"69","6.68.C","17.0705033772"
"70","6.69.C","6.8417493247"
"71","6.70.C","16.2764793723"
"72","6.71.C","12.3869747292"
"73","6.72.C","9.4005764618"
"74","6.73.C","10.302129307"
"75","6.74.C","11.949236622"
"76","6.75.C","14.548212185"
"77","6.76.C","12.1659115457"
"78","6.77.C","19.6186621549"
"79","6.78.C","7.4378502845"
"80","6.79.C","11.3643617382"
"81","6.80.C","12.6331116955"
"82","6.81.C","4.5407671431"
"83","6.82.C","8.9499501401"
"84","6.83.C","11.4210217496"
"85","6.84.C","8.9134047328"
"86","6.85.C","14.057549068"
"87","6.86.C","11.1685236294"
"88","6.87.C","14.4365849059"
"89","6.88.C","6.6716675524"
"90","6.89.C","12.3020902126"
"91","6.90.C","16.1644091756"
"92","6.91.C","16.0850004677"
"93","6.92.C","13.05653074"
"94","6.93.C","11.4509472687"
"95","6.94.C","11.7534918702"
"96","6.95.C","14.8282559206"
"97","6.96.C","14.6716465192"
"98","6.97.C","10.9112546537"
"99","6.98.C","14.4297353856"
"100","6.99.C","12.6226444328"
"101","6.100.C","11.8909576732"
"102","6.101.C","3.7266307302"
"103","6.102.C","12.1873740668"
"104","6.103.C","13.3104842578"
"105","6.104.C","9.7851244359"
"106","6.105.C","14.8785602425"
